ARQUIVO: cpos - PLANILHA: Comp EDIF Sem Des Julho24
DATA DA CONVERSÃO: 28/06/2025 11:44


CODIGO    DESCRICAO                                                                                                                                                                                                                                UNIDADE   PRECO_UNITARIO  FONTE
----------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
1001001   LIMPEZA MECANIZADA GERAL, INCLUSIVE REMOÇÃO DA COBERTURA VEGETAL - TRONCOS COM DIÂMETRO ATÉ 10CM - SEM TRANSPORTE                                                                                                                        M2        1,74            cpos 
1001002   DESTOCAMENTO, INCLUSIVE REMOÇÃO DAS RAÍZES - DIÂMETROS DE 10,01 À 30CM                                                                                                                                                                   UN        56,90           cpos 
1001003   DESTOCAMENTO, INCLUSIVE REMOÇÃO DAS RAÍZES - DIÂMETRO 30,01 À 50 CM                                                                                                                                                                      UN        158,17          cpos 
1001004   DESTOCAMENTO, INCLUSIVE REMOÇÃO DAS RAÍZES - DIÂMETROS MAIORES QUE 50 CM                                                                                                                                                                 UN        188,44          cpos 
1001005   CARGA MECANIZADA E REMOÇÃO DE ENTULHO, INCLUSIVE TRANSPORTE ATÉ 1KM                                                                                                                                                                      M3        11,90           cpos 
1001006   CARGA MANUAL E REMOÇÃO DE ENTULHO, INCLUSIVE TRANSPORTE ATÉ 1 KM                                                                                                                                                                         M3        51,66           cpos 
1001007   REMOÇÃO DE ENTULHO COM CAÇAMBA METÁLICA, INCLUSIVE CARGA MANUAL E DESCARGA EM BOTA-FORA                                                                                                                                                  M3        129,38          cpos 
1001008   LIMPEZA MANUAL GERAL INCLUSIVE REMOÇÃO DE COBERTURA VEGETAL - TRONCO ATÉ 10CM - SEM TRANSPORTE                                                                                                                                           M2        6,03            cpos 
1001009   DESTOCAMENTO MANUAL, INCLUSIVE REMOÇÃO DE RAÍZES - DIÂMETRO 10,01 À 30 CM                                                                                                                                                                UN        72,31           cpos 
1001010   TRANSPORTE DE ENTULHO POR CAMINHÃO BASCULANTE, A PARTIR DE 1KM                                                                                                                                                                           M3XKM     1,66            cpos 
1001020   CORTE, RECORTE E REMOÇÃO DE ÁRVORES INCLUSIVE RAIZES DIÂM. > 5 E < 15CM                                                                                                                                                                  UN        218,15          cpos 
1001021   CORTE, RECORTE E REMOÇÃO DE ÁRVORES INCLUSIVE RAIZES DIÂM. > 15 E < 30CM                                                                                                                                                                 UN        560,78          cpos 
1001022   CORTE, RECORTE E REMOÇÃO DE ÁRVORES INCLUSIVE RAIZES DIÂM. > 30 E < 60CM                                                                                                                                                                 UN        700,97          cpos 
1001023   CORTE, RECORTE E REMOÇÃO DE ÁRVORES INCLUSIVE RAIZES DIÂM. > 60 E < 90CM                                                                                                                                                                 UN        841,17          cpos 
1001024   CORTE, RECORTE E REMOÇÃO DE ÁRVORES INCLUSIVE RAIZES DIÂM. > 90CM                                                                                                                                                                        UN        981,36          cpos 
1002001   CORTE                                                                                                                                                                                                                                    M3        48,21           cpos 
1002002   CORTE E ESPALHAMENTO DENTRO DA OBRA                                                                                                                                                                                                      M3        60,26           cpos 
1002005   ATERRO, INCLUSIVE COMPACTAÇÃO MANUAL                                                                                                                                                                                                     M3        42,91           cpos 
1002010   CARGA MECANIZADA E REMOÇÃO DE TERRA, INCLUSIVE TRANSPORTE ATÉ 1KM                                                                                                                                                                        M3        16,98           cpos 
1002011   CARGA MANUAL E REMOÇÃO DE TERRA, INCLUSIVE TRANSPORTE ATÉ 1 KM                                                                                                                                                                           M3        40,44           cpos 
1003001   CORTE E ESPALHAMENTO DENTRO DA OBRA                                                                                                                                                                                                      M3        17,13           cpos 
1003002   CORTE E ATERRO COMPACTADO                                                                                                                                                                                                                M3        20,18           cpos 
1003003   CORTE E CARREGAMENTO PARA BOTA-FORA, INCLUSIVE TRANSPORTE ATÉ 1KM                                                                                                                                                                        M3        27,92           cpos 
1003005   FORNECIMENTO DE TERRA, INCLUSIVE CORTE, CARGA, DESCARGA E TRANSPORTE ATÉ 1KM                                                                                                                                                             M3        31,72           cpos 
1003006   ATERRO, INCLUSIVE COMPACTAÇÃO                                                                                                                                                                                                            M3        7,66            cpos 
1003010   TRANSPORTE DE TERRA POR CAMINHÃO BASCULANTE, A PARTIR DE 1KM                                                                                                                                                                             M3XKM     2,96            cpos 
1004001   ESCAVAÇÃO MANUAL, PROFUNDIDADE IGUAL OU INFERIOR A 1,50M                                                                                                                                                                                 M3        76,89           cpos 
1004002   ESCAVAÇÃO MANUAL, PROFUNDIDADE SUPERIOR A 1,50M                                                                                                                                                                                          M3        84,36           cpos 
1004005   ESCORAMENTO DE VALAS, CONTINUO                                                                                                                                                                                                           M2        125,52          cpos 
1004006   ESCORAMENTO DE VALAS, DESCONTINUO                                                                                                                                                                                                        M2        72,37           cpos 
1004010   APILOAMENTO DO FUNDO DE VALAS, PARA SIMPLES REGULARIZAÇÃO                                                                                                                                                                                M2        6,03            cpos 
1004014   LASTRO DE AGREGADO RECICLADO                                                                                                                                                                                                             M3        137,50          cpos 
1004015   LASTRO DE BRITA                                                                                                                                                                                                                          M3        225,40          cpos 
1004016   LASTRO DE CONCRETO, 150KG CIM/M3                                                                                                                                                                                                         M3        526,92          cpos 
1004017   LASTRO DE CONCRETO COM AGREGADO RECICLADO, 150 KG CIM/M3                                                                                                                                                                                 M3        456,16          cpos 
1004020   TUBO DE PEAD CORRUGADO E PERFURADOPARA DRENAGEM - DIÂMETRO 2,5" (EM ACORDO COM AS NORMAS DNIT 093/06, NBR 15073 E NBR 14692)                                                                                                             M         16,25           cpos 
1004021   TUBO DE PEAD CORRUGADO E PERFURADOPARA DRENAGEM - DIÂMETRO 3,0" (EM ACORDO COM AS NORMAS DNIT 093/06, NBR 15073 E NBR 14692)                                                                                                             M         16,98           cpos 
1004022   TUBO DE PEAD CORRUGADO E PERFURADOPARA DRENAGEM - DIÂMETRO 4,0" (EM ACORDO COM AS NORMAS DNIT 093/06, NBR 15073 E NBR 14692)                                                                                                             M         19,73           cpos 
